Country,Region,Pop,Life,GDP,EXPORTABLE
Mali ,AFRICA,11716829,53.788,884.5543709,TRUE
Malta ,EUROPE,400214,79.225,21018.44605,TRUE
Martinique ,LATIN AMERICA,436131,80.71,14400,TRUE
Mauritania ,AFRICA,3177388,61.064,1925.810128,TRUE
Mauritius ,AFRICA,1240827,73.142,10157.50696,TRUE
Mayotte ,AFRICA,201234,78.519,2600,TRUE
Mexico ,LATIN AMERICA,107449525,76.836,12191.06382,TRUE
Moldova ,EUROPE,4466706,68.541,2361.950703,TRUE
Mongolia ,ASIA,2832224,66.825,2861.679068,TRUE
Morocco ,AFRICA,33241259,70.246,3508.299806,TRUE
Mozambique ,AFRICA,19686505,49.204,669.5233824,TRUE
Namibia ,AFRICA,2044147,62.594,5205.412196,TRUE
Nepal ,ASIA,28287147,67.113,953.8109234,TRUE
Netherlands ,EUROPE,16491461,80.621,35104.48753,TRUE
Netherlands Antilles ,LATIN AMERICA,221736,76.518,11400,TRUE
New Caledonia ,OCEANIA,219246,75.674,15000,TRUE
New Zealand ,OCEANIA,4076140,80.67,25304.94062,TRUE
Nicaragua ,LATIN AMERICA,5570129,73.84,2335.563655,TRUE
Niger ,AFRICA,12525094,56.956,609.8370777,TRUE
Nigeria ,AFRICA,131859731,51.297,1749.651332,TRUE
Norway ,EUROPE,4610820,81.064,47626.27982,TRUE
Oman ,ASIA,3102229,75.721,21047.46362,TRUE
Pakistan ,ASIA,165803560,66.11,2144.795404,TRUE
Panama ,LATIN AMERICA,3191319,76.916,9166.563557,TRUE
Papua New Guinea ,OCEANIA,5670544,61.994,1866.045884,TRUE
Paraguay ,LATIN AMERICA,6506464,72.016,3900.787361,TRUE
Peru ,LATIN AMERICA,28302603,73.912,6386.955259,TRUE
Philippines ,ASIA,89468677,68.207,3050.826694,TRUE
Poland ,EUROPE,38536869,75.902,13784.16006,TRUE
Portugal ,EUROPE,10605870,79.291,21368.95879,TRUE
Puerto Rico ,LATIN AMERICA,3927188,78.326,16800,TRUE
